기준일,기준가격,등락가,등락비율,,
2019-05-22,66.50 ,0.00 ,0.00 ,,
2019-05-23,66.50 ,0.00 ,0.00 ,,
2019-05-24,66.50 ,0.00 ,0.00 ,,
2019-05-27,66.50 ,0.00 ,0.00 ,,
2019-05-28,66.50 ,0.00 ,0.00 ,,
2019-05-29,66.50 ,0.00 ,0.00 ,,
2019-05-30,66.50 ,0.00 ,0.00 ,,
2019-05-31,66.50 ,0.00 ,0.00 ,,
2019-06-03,66.50 ,0.00 ,0.00 ,,
2019-06-04,66.50 ,0.00 ,0.00 ,,
2019-06-05,66.50 ,0.00 ,0.00 ,,
2019-06-06,66.50 ,0.00 ,0.00 ,,
2019-06-10,66.50 ,0.00 ,0.00 ,,
2019-06-11,66.50 ,0.00 ,0.00 ,,
2019-06-12,66.50 ,0.00 ,0.00 ,,
2019-06-13,66.50 ,0.00 ,0.00 ,,
2019-06-14,66.00 ,-0.50 ,-0.75 ,,
2019-06-17,66.00 ,0.00 ,0.00 ,,
2019-06-18,66.00 ,0.00 ,0.00 ,,
2019-06-19,66.00 ,0.00 ,0.00 ,,
2019-06-20,66.00 ,0.00 ,0.00 ,,
2019-06-21,66.00 ,0.00 ,0.00 ,,
2019-06-24,66.00 ,0.00 ,0.00 ,,
